iter	Passed	Remaining
0	0	471
1	0	428
2	1	400
3	1	397
4	1	396
5	2	391
6	2	385
7	3	382
8	3	381
9	3	377
10	4	382
11	4	381
12	5	383
13	5	383
14	5	382
15	6	382
16	6	382
17	6	381
18	7	381
19	7	383
20	8	383
21	8	384
22	9	385
23	9	383
24	9	384
25	10	383
26	10	381
27	11	383
28	11	385
29	11	387
30	12	386
31	12	387
32	13	387
33	13	387
34	14	387
35	14	387
36	14	386
37	15	385
38	15	385
39	16	384
40	16	382
41	16	382
42	17	382
43	17	382
44	17	381
45	18	380
46	18	381
47	19	381
48	19	380
49	20	380
50	20	379
51	20	378
52	21	378
53	21	377
54	21	376
55	22	375
56	22	374
57	23	373
58	23	373
59	23	372
60	24	372
61	24	370
62	24	369
63	25	369
64	25	368
65	26	368
66	26	368
67	26	368
68	27	368
69	27	368
70	28	367
71	28	367
72	28	367
73	29	367
74	29	366
75	30	366
76	30	365
77	30	365
78	31	365
79	31	365
80	32	365
81	32	365
82	32	362
83	33	362
84	33	361
85	34	361
86	34	360
87	34	360
88	35	360
89	35	359
90	35	358
91	36	357
92	36	357
93	37	357
94	37	357
95	37	356
96	38	356
97	38	355
98	38	354
99	39	353
100	39	353
101	40	352
102	40	352
103	40	351
104	41	351
105	41	350
106	42	350
107	42	350
108	42	349
109	43	349
110	43	349
111	43	348
112	44	348
113	44	348
114	45	347
115	45	347
116	45	346
117	46	345
118	46	345
119	46	344
120	47	344
121	47	343
122	48	343
123	48	342
124	48	342
125	49	342
126	49	341
127	50	341
128	50	341
129	50	341
130	51	340
131	51	340
132	52	339
133	52	338
134	52	338
135	53	337
136	53	336
137	53	336
138	54	336
139	54	335
140	55	335
141	55	334
142	55	333
143	56	333
144	56	332
145	56	332
146	57	331
147	57	331
148	57	330
149	58	330
150	58	329
151	58	329
152	59	328
153	59	328
154	60	327
155	60	327
156	60	326
157	61	326
158	61	325
159	62	325
160	62	324
161	62	323
162	63	323
163	63	323
164	63	322
165	64	322
166	64	322
167	64	321
168	65	321
169	65	321
170	66	320
171	66	320
172	66	320
173	67	319
174	67	319
175	68	318
176	68	318
177	68	318
178	69	317
179	69	317
180	70	317
181	70	316
182	70	316
183	71	316
184	71	315
185	72	315
186	72	314
187	72	314
188	73	313
189	73	313
190	73	313
191	74	312
192	74	312
193	75	312
194	75	312
195	76	312
196	76	312
197	77	312
198	77	311
199	77	311
200	78	311
201	78	311
202	79	310
203	79	310
204	79	310
205	80	309
206	80	309
207	81	309
208	81	308
209	81	308
210	82	307
211	82	307
212	83	306
213	83	306
214	83	306
215	84	305
216	84	305
217	85	305
218	85	304
219	85	304
220	86	303
221	86	303
222	86	302
223	87	302
224	87	302
225	88	301
226	88	301
227	88	300
228	89	300
229	89	300
230	90	299
231	90	299
232	90	298
233	91	298
234	91	298
235	91	297
236	92	297
237	92	297
238	93	296
239	93	296
240	93	295
241	94	295
242	94	295
243	95	295
244	95	294
245	96	294
246	96	294
247	96	293
248	97	293
249	97	293
250	98	293
251	98	293
252	99	292
253	99	292
254	100	292
255	100	291
256	100	291
257	101	291
258	101	291
259	102	291
260	102	290
261	103	290
262	103	289
263	103	289
264	104	288
265	104	288
266	105	288
267	105	288
268	105	287
269	106	287
270	106	287
271	107	287
272	107	286
273	108	286
274	108	285
275	108	285
276	109	285
277	109	285
278	110	284
279	110	284
280	111	284
281	111	283
282	111	283
283	112	282
284	112	282
285	113	282
286	113	281
287	113	281
288	114	280
289	114	280
290	114	279
291	115	279
292	115	279
293	116	278
294	116	278
295	117	278
296	117	278
297	117	277
298	118	278
299	119	278
300	119	278
301	120	277
302	120	277
303	120	276
304	121	276
305	121	275
306	122	275
307	122	275
308	122	274
309	123	274
310	123	273
311	123	273
312	124	272
313	124	272
314	125	272
315	125	271
316	126	271
317	126	271
318	126	270
319	127	270
320	127	270
321	128	270
322	128	269
323	129	269
324	129	269
325	129	268
326	130	268
327	130	268
328	131	267
329	131	267
330	132	267
331	132	266
332	132	266
333	133	265
334	133	265
335	134	264
336	134	264
337	134	264
338	135	263
339	135	263
340	136	262
341	136	262
342	136	262
343	137	261
344	137	261
345	138	260
346	138	260
347	138	260
348	139	259
349	139	259
350	140	258
351	140	258
352	140	258
353	141	257
354	141	257
355	141	256
356	142	256
357	142	255
358	143	255
359	143	254
360	143	254
361	144	254
362	144	253
363	144	253
364	145	252
365	145	252
366	146	252
367	146	251
368	147	251
369	147	251
370	147	250
371	148	250
372	148	250
373	149	249
374	149	249
375	149	248
376	150	248
377	150	247
378	151	247
379	151	247
380	151	246
381	152	246
382	152	245
383	153	245
384	153	245
385	153	244
386	154	244
387	154	243
388	154	243
389	155	243
390	155	242
391	156	242
392	156	242
393	157	241
394	157	241
395	157	240
396	158	240
397	158	239
398	159	239
399	159	239
400	159	238
401	160	238
402	160	237
403	160	237
404	161	237
405	161	236
406	162	236
407	162	235
408	162	235
409	163	235
410	163	234
411	164	234
412	164	233
413	165	233
414	165	233
415	165	232
416	166	232
417	166	231
418	166	230
419	166	230
420	167	229
421	167	229
422	167	228
423	168	228
424	168	227
425	168	227
426	168	226
427	169	226
428	169	225
429	169	225
430	170	224
431	170	224
432	170	223
433	171	223
434	171	222
435	171	222
436	172	221
437	172	221
438	172	220
439	172	220
440	173	219
441	173	219
